race_id,timestamp,direction
1,1776628963.457,right
1,1776628963.498,right
1,1776628963.529,right
1,1776628963.573,right
1,1776628963.616,right
1,1776628963.643,right
1,1776628963.663,right
1,1776628963.702,right
1,1776628963.742,right
1,1776628963.77,right
1,1776628963.811,right
1,1776628963.84,right
1,1776628963.859,right
1,1776628965.037,left
1,1776628965.074,left
1,1776628965.116,left
1,1776628965.145,left
1,1776628965.173,left
1,1776628965.213,left
1,1776628965.237,left
1,1776628965.258,left
1,1776628965.296,left
1,1776628965.322,left
1,1776628965.343,left
1,1776628965.378,left
1,1776628965.396,left
1,1776628965.419,left
1,1776628965.463,left
1,1776628965.505,left
1,1776628966.865,right
1,1776628966.906,right
1,1776628966.931,right
1,1776628966.964,right
1,1776628966.983,right
1,1776628967.021,right
1,1776628967.041,right
1,1776628967.074,right
1,1776628967.118,right
1,1776628967.157,right
1,1776628967.199,right
1,1776628967.232,right
1,1776628967.265,right
1,1776628968.346,left
1,1776628968.387,left
1,1776628968.412,left
1,1776628968.442,left
1,1776628968.472,left
1,1776628968.513,left
1,1776628968.539,left
1,1776628968.566,left
1,1776628968.593,left
1,1776628970.201,right
1,1776628970.242,right
1,1776628970.267,right
1,1776628970.311,right
1,1776628970.347,right
1,1776628970.377,right
1,1776628970.409,right
1,1776628970.443,right
1,1776628970.478,right
1,1776628970.5,right
1,1776628970.541,right
1,1776628970.572,right
1,1776628970.6,right
1,1776628970.638,right
1,1776628970.67,right
1,1776628970.694,right
1,1776628970.736,right
1,1776628970.761,right
1,1776628970.783,right
1,1776628970.811,right
1,1776628970.844,right
1,1776628971.672,left
1,1776628971.708,left
1,1776628971.737,left
1,1776628971.766,left
1,1776628971.798,left
1,1776628971.819,left
1,1776628971.844,left
1,1776628971.874,left
1,1776628971.911,left
1,1776628971.947,left
1,1776628971.974,left
1,1776628972.008,left
1,1776628972.031,left
1,1776628972.067,left
1,1776628972.094,left
1,1776628972.124,left
1,1776628972.148,left
1,1776628972.178,left
1,1776628972.197,left
1,1776628972.234,left
1,1776628972.258,left
1,1776628972.959,left
1,1776628972.992,left
1,1776628973.025,left
1,1776628973.065,left
1,1776628973.087,left
1,1776628973.118,left
1,1776628973.148,left
1,1776628973.189,left
1,1776628973.22,left
1,1776628973.247,left
1,1776628973.284,left
1,1776628973.313,left
1,1776628973.336,left
1,1776628973.363,left
1,1776628973.809,right
1,1776628973.828,right
1,1776628973.862,right
1,1776628973.888,right
1,1776628973.909,right
1,1776628973.946,right
1,1776628973.984,right
1,1776628974.016,right
1,1776628974.047,right
1,1776628974.07,right
1,1776628974.103,right
1,1776628974.129,right
1,1776628974.154,right
1,1776628974.174,right
1,1776628974.215,right
1,1776628974.254,right
1,1776628974.272,right
1,1776628974.31,right
1,1776628974.332,right
1,1776628974.374,right
1,1776628974.399,right
1,1776628975.54,left
1,1776628975.583,left
1,1776628975.602,left
1,1776628975.629,left
1,1776628975.666,left
1,1776628975.684,left
1,1776628975.728,left
1,1776628975.764,left
1,1776628975.794,left
1,1776628975.838,left
1,1776628975.879,left
1,1776628975.913,left
1,1776628975.938,left
1,1776628975.979,left
1,1776628976.007,left
1,1776628976.031,left
1,1776628977.484,left
1,1776628977.529,left
1,1776628977.553,left
1,1776628977.586,left
1,1776628977.607,left
1,1776628977.635,left
1,1776628977.662,left
1,1776628977.693,left
1,1776628977.733,left
1,1776628977.754,left
1,1776628977.777,left
1,1776628977.813,left
1,1776628977.848,left
1,1776628977.876,left
1,1776628979.069,left
1,1776628979.107,left
1,1776628979.151,left
1,1776628979.188,left
1,1776628979.209,left
1,1776628979.249,left
1,1776628979.29,left
1,1776628979.325,left
1,1776628979.367,left
1,1776628979.398,left
1,1776628980.054,left
1,1776628980.083,left
1,1776628980.125,left
1,1776628980.157,left
1,1776628980.19,left
1,1776628980.222,left
1,1776628980.256,left
1,1776628980.3,left
1,1776628980.32,left
1,1776628980.34,left
1,1776628980.372,left
1,1776628980.406,left
1,1776628980.451,left
1,1776628980.471,left
1,1776628980.508,left
1,1776628980.54,left
1,1776628980.574,left
1,1776628980.596,left
1,1776628980.641,left
1,1776628980.683,left
1,1776628980.726,left
1,1776628980.747,left
1,1776628981.904,left
1,1776628981.948,left
1,1776628981.966,left
1,1776628981.996,left
1,1776628982.033,left
1,1776628982.052,left
1,1776628982.074,left
1,1776628982.1,left
1,1776628982.118,left
1,1776628982.151,left
1,1776628982.192,left
1,1776628982.216,left
1,1776628982.241,left
1,1776628982.263,left
1,1776628982.992,right
1,1776628983.011,right
1,1776628983.034,right
1,1776628983.075,right
1,1776628983.102,right
1,1776628983.14,right
1,1776628983.175,right
1,1776628983.218,right
1,1776628983.25,right
1,1776628983.272,right
1,1776628983.308,right
1,1776628983.337,right
1,1776628983.378,right
1,1776628984.571,right
1,1776628984.589,right
1,1776628984.619,right
1,1776628984.64,right
1,1776628984.66,right
